ADMIN,Longitude,Latitude,LatLng
Sri Lanka,80.70108238,7.61266509,"7.61266509,80.70108238"
Lesotho,28.22723131,-29.58003188,"-29.58003188,28.22723131"
Lithuania,23.88719355,55.32610984,"55.32610984,23.88719355"
Luxembourg,6.07182201,49.76725361,"49.76725361,6.07182201"
Latvia,24.91235983,56.85085163,"56.85085163,24.91235983"
Macao S.A.R,113.5093212,22.22311688,"22.22311688,113.50932116"
Saint Martin,-63.05972851,18.08888611,"18.08888611,-63.05972851"
Morocco,-8.45615795,29.83762955,"29.83762955,-8.45615795"
Monaco,7.40627677,43.75274627,"43.75274627,7.40627677"
Moldova,28.45673372,47.19498804,"47.19498804,28.45673372"
Madagascar,46.70473674,-19.37189587,"-19.37189587,46.70473674"
Maldives,73.45713004,3.7287092,"3.7287092,73.45713004"
Mexico,-102.5234517,23.94753724,"23.94753724,-102.52345169"
Marshall Islands,170.3397612,7.00376358,"7.00376358,170.33976122"
Macedonia,21.68211346,41.59530893,"41.59530893,21.68211346"
Mali,-3.54269065,17.34581581,"17.34581581,-3.54269065"
Malta,14.40523316,35.92149632,"35.92149632,14.40523316"
Myanmar,96.48843321,21.18566599,"21.18566599,96.48843321"
Montenegro,19.23883939,42.78890259,"42.78890259,19.23883939"
Mongolia,103.0529977,46.82681544,"46.82681544,103.05299765"
Northern Mariana Islands,145.6196965,15.82927563,"15.82927563,145.61969651"
Mozambique,35.53367543,-17.27381643,"-17.27381643,35.53367543"
Mauritania,-10.34779815,20.25736706,"20.25736706,-10.34779815"
Montserrat,-62.18518546,16.73941406,"16.73941406,-62.18518546"
Mauritius,57.57120551,-20.27768704,"-20.27768704,57.57120551"
Malawi,34.28935599,-13.21808088,"-13.21808088,34.28935599"
Malaysia,109.6976228,3.78986846,"3.78986846,109.69762284"
Namibia,17.20963567,-22.13032568,"-22.13032568,17.20963567"
New Caledonia,165.6849237,-21.29991806,"-21.29991806,165.68492374"
Niger,9.38545882,17.41912493,"17.41912493,9.38545882"
Norfolk Island,167.9492168,-29.0514609,"-29.0514609,167.94921678"
Nigeria,8.08943895,9.59411452,"9.59411452,8.08943895"
Nicaragua,-85.0305297,12.84709429,"12.84709429,-85.0305297"
Niue,-169.8699468,-19.04945708,"-19.04945708,-169.86994682"
Netherlands,5.28144793,52.1007899,"52.1007899,5.28144793"
Norway,15.34834656,68.75015572,"68.75015572,15.34834656"
Nepal,83.9158264,28.24891365,"28.24891365,83.9158264"
Nauru,166.9325682,-0.51912639,"-0.51912639,166.93256823"
New Zealand,171.4849235,-41.81113557,"-41.81113557,171.48492347"
Oman,56.09166155,20.60515333,"20.60515333,56.09166155"
Pakistan,69.33957937,29.9497515,"29.9497515,69.33957937"
Panama,-80.11915156,8.51750797,"8.51750797,-80.11915156"
Pitcairn Islands,-128.317042,-24.36500535,"-24.36500535,-128.31704202"
Peru,-74.38242685,-9.15280381,"-9.15280381,-74.38242685"
Philippines,122.8839325,11.77536778,"11.77536778,122.88393253"
Palau,134.4080797,7.28742784,"7.28742784,134.40807966"
Papua New Guinea,145.2074475,-6.46416646,"-6.46416646,145.20744752"
Poland,19.39012835,52.12759564,"52.12759564,19.39012835"
Puerto Rico,-66.47307604,18.22813055,"18.22813055,-66.47307604"
North Korea,127.1924797,40.15350311,"40.15350311,127.19247973"
Portugal,-8.50104361,39.59550671,"39.59550671,-8.50104361"
Paraguay,-58.40013703,-23.22823913,"-23.22823913,-58.40013703"
Palestine,35.19628705,31.91613893,"31.91613893,35.19628705"
French Polynesia,-144.9049439,-14.72227409,"-14.72227409,-144.90494387"
Qatar,51.18479632,25.30601188,"25.30601188,51.18479632"
Romania,24.97293039,45.85243127,"45.85243127,24.97293039"
Russia,96.68656112,61.98052209,"61.98052209,96.68656112"
Rwanda,29.91988515,-1.99033832,"-1.99033832,29.91988515"
Western Sahara,-12.21982755,24.22956739,"24.22956739,-12.21982755"
Saudi Arabia,44.53686271,24.12245841,"24.12245841,44.53686271"
Sudan,29.94046812,15.99035669,"15.99035669,29.94046812"
South Sudan,30.24790002,7.30877945,"7.30877945,30.24790002"
Senegal,-14.4734924,14.36624173,"14.36624173,-14.4734924"
Singapore,103.8172559,1.35876087,"1.35876087,103.81725592"
South Georgia and South Sandwich Islands,-36.43318388,-54.46488248,"-54.46488248,-36.43318388"
Saint Helena,-9.54779416,-12.40355951,"-12.40355951,-9.54779416"
Solomon Islands,159.6328767,-8.92178022,"-8.92178022,159.63287668"
Sierra Leone,-11.79271247,8.56329593,"8.56329593,-11.79271247"
El Salvador,-88.87164469,13.73943744,"13.73943744,-88.87164469"
San Marino,12.45922334,43.94186747,"43.94186747,12.45922334"
Somaliland,46.25198395,9.73345496,"9.73345496,46.25198395"
Somalia,45.70714487,4.75062876,"4.75062876,45.70714487"
Saint Pierre and Miquelon,-56.30319779,46.91918789,"46.91918789,-56.30319779"
Republic of Serbia,20.78958334,44.2215032,"44.2215032,20.78958334"
Sao Tome and Principe,6.72429658,0.44391445,"0.44391445,6.72429658"
Suriname,-55.9123457,4.13055413,"4.13055413,-55.9123457"
Slovakia,19.47905218,48.70547528,"48.70547528,19.47905218"
Slovenia,14.80444238,46.11554772,"46.11554772,14.80444238"
Sweden,16.74558049,62.77966519,"62.77966519,16.74558049"
Swaziland,31.4819369,-26.55843045,"-26.55843045,31.4819369"
Sint Maarten,-63.05713363,18.05081728,"18.05081728,-63.05713363"
Seychelles,55.47603279,-4.66099094,"-4.66099094,55.47603279"
Syria,38.50788204,35.02547389,"35.02547389,38.50788204"
Turks and Caicos Islands,-71.97387881,21.83047572,"21.83047572,-71.97387881"
Chad,18.64492513,15.33333758,"15.33333758,18.64492513"
Togo,0.96232845,8.52531356,"8.52531356,0.96232845"
Thailand,101.0028813,15.11815794,"15.11815794,101.0028813"
Tajikistan,71.01362631,38.5304539,"38.5304539,71.01362631"
Turkmenistan,59.37100021,39.11554137,"39.11554137,59.37100021"
East Timor,125.8443898,-8.82889162,"-8.82889162,125.84438982"
Tonga,-174.8098734,-20.42843174,"-20.42843174,-174.80987341"
Trinidad and Tobago,-61.26567923,10.45733408,"10.45733408,-61.26567923"
Tunisia,9.55288359,34.11956246,"34.11956246,9.55288359"
Turkey,35.16895346,39.0616029,"39.0616029,35.16895346"
Taiwan,120.9542728,23.7539928,"23.7539928,120.95427281"
United Republic of Tanzania,34.81309981,-6.27565408,"-6.27565408,34.81309981"
Uganda,32.36907971,1.27469299,"1.27469299,32.36907971"
Ukraine,31.38326469,48.99656673,"48.99656673,31.38326469"
Uruguay,-56.01807053,-32.79951534,"-32.79951534,-56.01807053"
United States of America,-112.4616737,45.6795472,"45.6795472,-112.4616737"
Uzbekistan,63.14001528,41.75554225,"41.75554225,63.14001528"
Vatican,12.43387177,41.90174985,"41.90174985,12.43387177"
Saint Vincent and the Grenadines,-61.20129695,13.22472269,"13.22472269,-61.20129695"
Venezuela,-66.18184123,7.12422421,"7.12422421,-66.18184123"
British Virgin Islands,-64.47146992,18.52585755,"18.52585755,-64.47146992"
United States Virgin Islands,-64.80301538,17.95500624,"17.95500624,-64.80301538"
Vietnam,106.299147,16.6460167,"16.6460167,106.29914698"
Vanuatu,167.6864464,-16.22640909,"-16.22640909,167.68644636"
Wallis and Futuna,-177.3483483,-13.88737039,"-13.88737039,-177.34834825"
Samoa,-172.1648506,-13.75324346,"-13.75324346,-172.16485064"
Yemen,47.58676189,15.90928005,"15.90928005,47.58676189"
South Africa,25.08390093,-29.00034095,"-29.00034095,25.08390093"
Zambia,27.77475946,-13.45824152,"-13.45824152,27.77475946"
Zimbabwe,29.8514412,-19.00420419,"-19.00420419,29.8514412"
